Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2
Bovenweg 223,Sint Pancras,€ 525.000,251 m²,135 m²,1972,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,,"Achtertuin, voortuin en zijtuin",6.035
Julianastraat 19,Waddinxveen,€ 425.000,181 m²,109 m²,1935,Bestaande bouw,"Herenhuis, geschakelde 2-onder-1-kapwoning",Schilddak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.435
Kuipersgilde 3,Houten,€ 575.000,198 m²,138 m²,1986,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin,1.855
De Kamp 1 A,Pannerden,€ 259.500,231 m²,92 m²,1989,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,B,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",2.190
Wildrijklaan 8,Sassenheim,€ 1.050.000,423 m²,210 m²,2000,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak bedekt met pannen,6 kamers (5 slaapkamers),2 badkamers en 2 aparte toiletten,4 woonlagen en een kelder,A,"Aan rustige weg, aan water, beschutte ligging, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",1.340
Tol 4,Oudewater,€ 445.000,127 m²,126 m²,2016,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,1.745
Furkabaan 698,Utrecht,€ 425.000,170 m²,87 m²,1984,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,C,In woonwijk,Achtertuin en voortuin,7.080
Abeelstraat 71,Dordrecht,€ 825.000,413 m²,232 m²,1974,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7 kamers (6 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,In woonwijk,Achtertuin en voortuin,5.090
Overegge 8,Zuidveen,€ 249.500,235 m²,124 m²,1920,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,G,"Aan rustige weg, beschutte ligging en in centrum",Voortuin en zijtuin,580
Gaasterland 59,Amstelveen,€ 550.000,137 m²,111 m²,1992,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.040
Oostopgaande 53,Nieuwlande,€ 859.000,5.440 m²,300 m²,2017,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,9 kamers (7 slaapkamers),3 badkamers en 2 aparte toiletten,3 woonlagen,A,"Aan rustige weg, aan water, in bosrijke omgeving, landelijk gelegen en vrij uitzicht",Tuin rondom,60
Ghijseland 198,Rhoon,€ 389.000,290 m²,108 m²,1973,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.310
Diedenweg 10 A,Ede,€ 349.000,281 m²,80 m²,,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,F,In woonwijk,"Achtertuin, voortuin en zijtuin",
Klaverbeemd 4,Terheijden,€ 399.000,219 m²,129 m²,1976,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin,
Burgemeester Schoutenstraat 13,Schaijk,€ 495.000,371 m²,141 m²,1988,Bestaande bouw,"Bungalow, geschakelde woning (semi-bungalow)",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,In centrum en in woonwijk,"Achtertuin, voortuin en zijtuin",6.220
Bouwhuisweg 10,Nieuwleusen,€ 560.000,2.510 m²,129 m²,1967,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer,2 woonlagen,E,"Aan rustige weg, beschutte ligging, buiten bebouwde kom, in woonwijk, landelijk gelegen en vrij uitzicht",Tuin rondom,1.440
Kerkstraat 20,Linden,€ 425.000,560 m²,99 m²,1965,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,D,Vrij uitzicht,Achtertuin,220
