ID,age,has_spouse,spouse_ID,gross_salary,has_student_loan,student_loan_amount,has_general_loan,general_loan_amount,has_alimony,alimony_amount
1,37,TRUE,1,191453,FALSE,0,FALSE,0,FALSE,0
2,56,TRUE,2,82586,FALSE,0,FALSE,0,FALSE,0
3,66,FALSE,3,151688,TRUE,55815,TRUE,8901,FALSE,0
4,56,TRUE,4,107499,FALSE,0,TRUE,9727,FALSE,0
5,82,TRUE,5,31355,TRUE,30629,FALSE,0,FALSE,0
6,75,FALSE,6,114946,FALSE,0,TRUE,7624,TRUE,1657.604031
7,59,TRUE,7,193937,FALSE,0,FALSE,0,FALSE,0
8,57,TRUE,8,108115,FALSE,0,FALSE,0,TRUE,515.4660385
9,19,FALSE,9,168304,FALSE,0,TRUE,3907,FALSE,0
10,72,FALSE,10,137758,FALSE,0,FALSE,0,TRUE,497.8048837
11,56,TRUE,11,156277,TRUE,34279,FALSE,0,FALSE,0
12,25,FALSE,12,119447,TRUE,28002,FALSE,0,FALSE,0
13,52,FALSE,13,111993,FALSE,0,TRUE,6882,FALSE,0
14,83,TRUE,14,123917,FALSE,0,TRUE,53,FALSE,0
15,79,TRUE,15,133414,TRUE,20694,TRUE,4322,TRUE,301.6947677
16,61,FALSE,16,96027,FALSE,0,TRUE,6998,FALSE,0
17,79,FALSE,17,102618,TRUE,24094,FALSE,0,TRUE,953.3290723
18,37,TRUE,18,145157,TRUE,18131,TRUE,1189,FALSE,0
19,72,TRUE,19,157846,FALSE,0,FALSE,0,FALSE,0
20,78,TRUE,20,174121,FALSE,0,FALSE,0,FALSE,0
21,70,FALSE,21,79789,FALSE,0,TRUE,1756,FALSE,0
22,41,TRUE,22,108438,TRUE,69231,TRUE,100,FALSE,0
23,53,TRUE,23,133495,TRUE,60835,TRUE,2984,FALSE,0
24,34,TRUE,24,26793,FALSE,0,TRUE,5173,FALSE,0
25,48,FALSE,25,53512,FALSE,0,FALSE,0,FALSE,0
26,46,TRUE,26,25645,TRUE,67930,TRUE,2581,FALSE,0
27,38,FALSE,27,44589,TRUE,10106,FALSE,0,FALSE,0
28,46,TRUE,28,128997,TRUE,69676,TRUE,2447,FALSE,0
29,76,TRUE,29,191072,FALSE,0,TRUE,9206,FALSE,0
30,19,TRUE,30,75892,FALSE,0,TRUE,7655,FALSE,0
31,39,TRUE,31,51706,TRUE,58064,FALSE,0,FALSE,0
32,62,FALSE,32,39123,TRUE,3082,FALSE,0,FALSE,0
33,23,FALSE,33,168217,FALSE,0,FALSE,0,TRUE,839.7863138
34,81,FALSE,34,145052,FALSE,0,FALSE,0,FALSE,0
35,43,FALSE,35,172033,TRUE,32115,FALSE,0,FALSE,0
36,36,TRUE,36,146933,TRUE,28917,FALSE,0,FALSE,0
37,60,TRUE,37,170785,FALSE,0,FALSE,0,TRUE,2630.271522
38,26,FALSE,38,83742,FALSE,0,TRUE,9397,FALSE,0
